chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr16	2007034	2010923	1539.2	0.3	6.897e-07	1.497e-05
chr11	43578516	43581694	534.5	0.5	5.668e-07	1.512e-05
chr5	180801722	180805225	1053.2	-0.4	2.773e-07	1.512e-05
chr1	9686743	9690311	921.6	-0.4	3.104e-07	1.540e-05
chr7	124764558	124766202	244.1	0.8	9.959e-07	1.548e-05
chr19	38036994	38038581	189	-0.9	1.003e-06	1.564e-05
chrX	281119	282821	368.8	-0.7	1.009e-06	1.565e-05
chr9	35663910	35665826	727.9	-0.5	4.653e-07	1.585e-05
chr14	87815066	87816218	61.1	-1.7	9.993e-07	1.592e-05
chr7	155506687	155507448	29.6	2.7	9.434e-07	1.610e-05
chr8	2631116	2633512	96.7	-1.4	9.278e-07	1.644e-05
chr21	41866408	41868499	120.1	-1.2	9.750e-07	1.726e-05
chr19	18021524	18024371	551.6	-0.6	6.460e-07	1.729e-05
chr19	38360604	38363217	473.3	0.6	6.688e-07	1.775e-05
chr1	28258783	28261775	1295.6	0.4	3.407e-07	1.831e-05
chr22	39437237	39438893	160.1	-1	1.149e-06	1.850e-05
chr22	24592322	24593532	243.7	0.8	1.155e-06	1.857e-05
chr16	17465564	17471433	1835	-0.3	8.771e-07	1.864e-05
chr3	58584580	58586131	164.2	1	1.214e-06	1.864e-05
chr9	121651482	121652190	41.1	2.1	1.122e-06	1.892e-05
chr1	21669090	21670159	75.3	1.5	1.125e-06	1.894e-05
chr17	42288055	42289140	48.6	1.9	1.248e-06	1.957e-05
chr1	208243565	208245081	74.3	1.5	1.260e-06	1.973e-05
chrX	100926137	100930231	448.3	-0.6	1.331e-06	2.030e-05
chr19	55252473	55260197	3224.7	-0.2	9.651e-07	2.051e-05
chr3	77145846	77148668	267.2	-0.8	1.400e-06	2.123e-05
chr10	92688832	92692768	832.1	0.5	4.220e-07	2.124e-05
chr3	160225009	160226321	247.1	0.8	1.348e-06	2.184e-05
chr3	143118690	143121295	1349.9	0.4	8.399e-07	2.277e-05
chr4	56655202	56656585	49.2	1.9	1.383e-06	2.303e-05
chr7	128201023	128201893	109.1	1.2	1.493e-06	2.313e-05
chr9	17578664	17579789	50.7	1.8	1.527e-06	2.313e-05
chr1	156705728	156706863	73	1.5	1.573e-06	2.342e-05
chr14	67532770	67533765	129.4	1.1	1.204e-06	2.342e-05
chr6	7260858	7261933	108	1.2	1.550e-06	2.352e-05
chr12	122202942	122204951	485.5	-0.6	9.172e-07	2.352e-05
chr7	106070298	106072212	322	-0.7	1.483e-06	2.401e-05
chr3	171459898	171461377	157.1	1	1.625e-06	2.429e-05
chr22	22881959	22884093	195.4	-0.9	1.658e-06	2.485e-05
chr12	76030460	76032631	615.1	0.5	9.833e-07	2.507e-05
chr22	37804498	37805551	81	1.4	1.300e-06	2.507e-05
chr8	102806014	102807650	253.2	0.8	1.608e-06	2.510e-05
chr16	87697843	87699426	106.5	-1.2	1.177e-06	2.511e-05
chr17	10729436	10730643	209.9	0.8	1.715e-06	2.545e-05
chr19	20269350	20272201	182.1	-0.9	1.629e-06	2.587e-05
chr3	123449248	123450367	33.7	2.3	1.915e-06	2.646e-05
chr16	11099680	11101707	257.7	-0.8	1.803e-06	2.667e-05
chr11	62880233	62883352	1116.7	0.4	5.726e-07	2.674e-05
chr17	38427654	38429125	79.4	1.4	1.670e-06	2.720e-05
chr19	39406125	39410692	1685.8	-0.3	1.347e-06	2.757e-05
chr1	93447543	93449500	462.5	0.6	1.937e-06	2.768e-05
chr6	90610725	90611643	89.3	1.4	1.640e-06	2.768e-05
chr22	50191987	50194143	180.7	-0.9	1.928e-06	2.843e-05
chr22	37219193	37220603	106.7	-1.2	1.417e-06	2.985e-05
chr4	168654611	168656261	139.3	-1.1	2.028e-06	3.005e-05
chr10	46282606	46283300	47.1	1.9	2.077e-06	3.014e-05
chr11	111540298	111541008	51.8	1.8	2.107e-06	3.055e-05
chr4	15000994	15005632	2019.5	-0.3	2.310e-06	3.075e-05
chr2	197804028	197805526	216.3	0.8	2.018e-06	3.089e-05
chr15	64911428	64912279	84.4	1.4	1.657e-06	3.126e-05
chr22	37019136	37020294	45.7	2	1.981e-06	3.184e-05
chr20	46117605	46119741	526.8	-0.5	1.250e-06	3.186e-05
chr14_KI270723v1_random	34793	35511	48.2	1.8	2.217e-06	3.234e-05
chr5	157459868	157460629	70.1	1.5	1.720e-06	3.234e-05
chr3	52244897	52247151	558.6	0.5	1.132e-06	3.262e-05
chr3	187072759	187074503	121.2	-1.1	1.977e-06	3.284e-05
chr14	91354918	91355931	93.3	-1.3	2.208e-06	3.286e-05
chr12	6828390	6829927	302.9	0.7	2.276e-06	3.298e-05
chr2	232875699	232877069	124.1	1.1	2.266e-06	3.305e-05
chr14	88554251	88555405	248.7	0.8	2.173e-06	3.327e-05
chr12	49903577	49904385	27	2.9	1.391e-06	3.352e-05
chr13	114130614	114133063	867.8	0.5	7.092e-07	3.387e-05
chr22	37801984	37803249	344.3	0.6	2.433e-06	3.390e-05
chr7	90708630	90714645	1234.4	-0.4	1.316e-06	3.390e-05
chr6	138692139	138693915	619.2	0.5	1.451e-06	3.559e-05
chr10	114524658	114527526	498.7	-0.6	1.456e-06	3.594e-05
chr1	41366065	41367149	51.2	1.8	1.974e-06	3.654e-05
chr9	135478890	135480960	223.8	0.8	2.604e-06	3.732e-05
chr8	72536577	72537865	35.8	2.3	2.383e-06	3.752e-05
chr13	76884969	76887347	915.3	0.4	8.647e-07	3.924e-05
chr18	50194442	50195536	130.6	1.1	2.691e-06	3.942e-05
chr2	191150260	191151346	77.6	1.4	2.522e-06	3.957e-05
chr14_GL000225v1_random	560	1461	66.9	1.6	2.163e-06	3.976e-05
chr13	114229803	114230462	30.9	2.5	2.798e-06	3.991e-05
chr7	47540578	47541544	54.3	-1.8	2.842e-06	4.049e-05
chr12	109309477	109310597	83.1	1.4	2.219e-06	4.058e-05
chr19	1077246	1078213	93.9	-1.3	2.001e-06	4.058e-05
chr5	127229007	127230153	125.5	1.1	2.220e-06	4.058e-05
chr1	8317739	8318597	65.2	1.5	2.922e-06	4.081e-05
chr6	47476708	47480949	1347.2	-0.3	1.323e-06	4.081e-05
chr9	136686195	136687908	368.1	0.6	2.927e-06	4.135e-05
chr1	34928559	34930488	498	0.6	1.488e-06	4.157e-05
chr8	102652280	102658216	2428.4	-0.2	2.121e-06	4.157e-05
chr5	140345546	140347559	380	0.6	3.136e-06	4.273e-05
chr20	37345515	37346240	38.4	2.1	3.363e-06	4.395e-05
chr1	11923594	11927137	1001.6	-0.4	9.023e-07	4.417e-05
chr17	45893846	45896063	435.3	0.6	2.971e-06	4.450e-05
chr7	2036686	2041409	847.4	-0.4	1.466e-06	4.481e-05
chr10	93073077	93074689	110.6	1.2	3.180e-06	4.485e-05
chr11	27041211	27042410	77.4	-1.4	3.271e-06	4.584e-05
chr12	57518741	57520653	931.6	0.4	1.046e-06	4.637e-05
chr10	22251624	22253126	128.9	1.1	3.272e-06	4.684e-05
chr15	22775460	22776076	29.9	-2.5	3.350e-06	4.716e-05
chr14	93953295	93957023	858.2	-0.4	1.560e-06	4.722e-05
chr4	13527387	13528678	35.8	2.2	3.682e-06	4.759e-05
chr17	49209876	49212991	591	-0.5	1.963e-06	4.762e-05
chr2	65678635	65679176	24.8	2.9	2.074e-06	4.804e-05
chr15	89332768	89336134	1428.2	-0.3	1.059e-06	4.809e-05
chr4	86891763	86892928	195.7	0.9	3.321e-06	4.809e-05
chr11	122882604	122883557	59.1	1.6	3.489e-06	4.836e-05
chr17	16491192	16492856	171.3	0.9	3.520e-06	4.846e-05
chr6	157980815	157982731	651.9	0.5	1.613e-06	4.878e-05
chr16	67537183	67539040	484.3	0.5	2.062e-06	4.888e-05
chr12	52006420	52007919	150.7	1	3.555e-06	4.934e-05
chr7	94060868	94062960	163.5	-1	3.488e-06	5.083e-05
chr2	20665971	20668126	297.2	0.7	3.823e-06	5.087e-05
chr8	78804181	78805838	782.8	0.4	2.179e-06	5.141e-05
chr2	223835071	223838496	1181.9	-0.4	1.078e-06	5.152e-05
chr1	156245351	156246270	71	1.5	3.815e-06	5.232e-05
chr16	88968468	88978451	1084.4	-0.6	1.166e-06	5.232e-05
chr15	88894832	88895745	72.1	1.5	2.978e-06	5.253e-05
chr6	127119286	127120048	40.2	2.1	4.267e-06	5.415e-05
chr17	2023944	2025805	60.3	1.6	3.975e-06	5.434e-05
chr11	47376213	47378945	1039.1	-0.4	1.265e-06	5.469e-05
chr18	24397032	24398490	281.1	0.7	4.052e-06	5.495e-05
chr7	100583575	100587318	1669	-0.3	2.963e-06	5.576e-05
chr19	47242976	47244478	278.2	0.7	3.878e-06	5.577e-05
chr3	51955569	51956931	71.2	1.5	4.102e-06	5.577e-05
chr3	43994686	44000117	1040.3	0.4	1.256e-06	5.581e-05
chr3	184229081	184230392	210	0.8	3.968e-06	5.617e-05
chr13	78608565	78609844	69.9	1.5	3.220e-06	5.620e-05
chr15	78830609	78831554	49.4	1.8	3.817e-06	5.673e-05
chr17	57549204	57552226	539.9	-0.5	2.525e-06	5.813e-05
chr4	184351316	184354192	567.8	-0.5	2.497e-06	5.825e-05
chrX	107825974	107826971	38.6	2.1	4.212e-06	5.825e-05
chr6	13272468	13274869	365.6	-0.7	4.110e-06	5.904e-05
chr7	120856710	120858456	572.9	0.5	2.544e-06	5.971e-05
chr11	57476214	57477039	51	1.8	4.453e-06	6.133e-05
chr19	37927230	37928705	119	-1.1	3.197e-06	6.134e-05
chr19	39950683	39953174	357.7	-0.7	4.347e-06	6.218e-05
chr15	59394987	59396445	79.4	-1.5	4.801e-06	6.438e-05
chr4	88007388	88008492	53.1	1.7	4.906e-06	6.480e-05
chr22	46430828	46433685	468.3	-0.6	2.851e-06	6.494e-05
chr10	540174	543556	271.6	-0.7	4.641e-06	6.610e-05
chr1	197917004	197918606	74.7	1.4	4.509e-06	6.610e-05
chr2	86824974	86828118	264.6	-0.7	4.749e-06	6.750e-05
chr4	2058375	2059987	45	1.9	4.788e-06	7.004e-05
chr5	18744377	18746586	464.8	0.6	4.963e-06	7.040e-05
chr17	72030146	72030920	30	2.4	5.379e-06	7.324e-05
chr3	31967277	31972547	320.3	-0.7	5.149e-06	7.362e-05
chr15	41493052	41495838	468.1	0.5	3.308e-06	7.650e-05
chr3	124886679	124887833	42.6	1.9	5.283e-06	7.690e-05
chr1	43565308	43566269	123.1	1.1	5.097e-06	7.700e-05
chr17	77439074	77439907	44.9	-1.8	5.820e-06	7.700e-05
chr5	173743122	173746533	329.9	0.7	5.462e-06	7.770e-05
chr1	206909043	206910117	181.3	0.9	5.553e-06	7.812e-05
chr6	1734906	1739654	617.1	-0.5	3.506e-06	7.870e-05
chr12	6872126	6874163	544	0.5	3.512e-06	7.939e-05
chr18	79486383	79487041	40.7	-1.9	5.552e-06	8.023e-05
chr14	95686348	95689137	1062.6	-0.4	1.757e-06	8.037e-05
chr1	200038988	200040285	301.7	0.7	5.801e-06	8.119e-05
chr19	54949824	54951355	146.9	-1	6.234e-06	8.226e-05
chr11	75583059	75583914	39.9	2	6.333e-06	8.303e-05
chr3	141382668	141389605	1372.3	0.4	1.834e-06	8.354e-05
chr6	10837396	10839182	394.6	0.6	6.465e-06	8.441e-05
chr8	38756526	38757719	118	1.1	6.361e-06	8.511e-05
chr20	43711029	43713090	415.8	-0.6	6.128e-06	8.610e-05
chr5	150671753	150672626	37.8	2	6.682e-06	8.715e-05
chr17	4738805	4740258	448.5	0.6	6.833e-06	8.886e-05
chrX	78944841	78948380	402.1	-0.6	6.868e-06	8.888e-05
chr18	13610673	13616926	2522.2	-0.2	7.601e-06	8.956e-05
chr3	196639313	196640530	157.1	0.9	7.153e-06	9.270e-05
chr7	55254853	55255595	77	1.4	5.548e-06	9.270e-05
chr22	19766295	19767814	109.7	1.1	5.585e-06	9.321e-05
chr1	19483781	19487111	1306.1	-0.3	4.063e-06	9.462e-05
chr11	46332612	46333607	43.2	1.9	7.268e-06	9.476e-05
chr16	67198922	67199838	131.1	-1	5.160e-06	9.512e-05
chr7	155296308	155301192	2996.5	-0.2	5.307e-06	9.512e-05
chr14_GL000225v1_random	79778	80118	33.7	2.2	6.722e-06	9.518e-05
chrX	134548674	134551318	281.3	0.7	7.045e-06	9.671e-05
chr1	241356452	241357646	176.5	0.9	7.582e-06	9.703e-05
chr11	103108900	103110429	322.5	0.6	7.698e-06	9.879e-05
chr17	47253401	47254889	397.3	0.6	7.165e-06	9.897e-05
chr21	33949850	33950654	44	-1.9	7.712e-06	9.897e-05
chr16	74700042	74701244	259.4	0.7	7.308e-06	9.902e-05
chr7	28853648	28854713	344.9	0.6	7.826e-06	9.965e-05
chr2	11681101	11682666	408.6	-0.6	7.846e-06	9.976e-05
chr20	64041985	64042759	68.4	1.4	7.805e-06	9.976e-05
chr13	112943197	112944026	51.5	1.7	7.985e-06	1.005e-04
chr17	75875928	75878633	422.5	0.6	7.964e-06	1.010e-04
chr18	10453969	10455300	79.1	1.3	7.236e-06	1.012e-04
chr3	48503544	48504802	172.2	0.9	7.486e-06	1.015e-04
chr18	48947845	48953234	1021	0.4	2.522e-06	1.016e-04
chr16	88983682	88986498	341.6	-0.6	8.041e-06	1.020e-04
chr5	77210365	77211345	28.1	2.4	8.236e-06	1.045e-04
chr14	104689102	104690723	464.9	0.5	8.343e-06	1.052e-04
chr9	68704441	68706501	500.8	0.5	4.833e-06	1.058e-04
chr1	225809555	225810707	179.5	0.9	7.870e-06	1.061e-04
chr11	108497454	108498673	81.4	1.3	8.398e-06	1.061e-04
chr2	62505548	62506753	423.5	0.6	7.807e-06	1.061e-04
chr8	81111085	81112467	479.5	0.5	4.985e-06	1.071e-04
chr5	80487497	80488782	254.5	0.7	8.068e-06	1.075e-04
chr12	122197435	122198325	40.6	-1.9	8.418e-06	1.085e-04
chr2	133419498	133422276	262.6	-0.7	8.263e-06	1.085e-04
chr10	117216394	117217580	101.5	1.1	8.539e-06	1.099e-04
chr22	25111054	25111720	75.3	1.3	8.986e-06	1.112e-04
chr6	1869014	1871549	202.3	-0.8	8.499e-06	1.112e-04
chr12	67989157	67992094	220	-0.8	8.349e-06	1.115e-04
chr14	24093640	24096014	1156.7	0.4	2.731e-06	1.119e-04
chr16	29678860	29680551	206	-0.8	9.008e-06	1.125e-04
chr11	48044638	48046204	107	-1.2	6.431e-06	1.147e-04
chr22	50184713	50187708	894.2	-0.4	4.331e-06	1.176e-04
chr5	80251917	80257634	2243.6	-0.2	1.050e-05	1.186e-04
chr21	44299333	44301740	844.7	-0.4	3.016e-06	1.190e-04
chrX	25012738	25013963	129	1	7.508e-06	1.203e-04
chr2	119431169	119432357	103.4	1.2	7.628e-06	1.221e-04
chr19	29872973	29873811	82	1.3	8.963e-06	1.222e-04
chr2	132416096	132417150	58.6	1.5	9.677e-06	1.228e-04
chr21	41864429	41865553	61.5	-1.5	7.693e-06	1.228e-04
chr9	134930982	134933077	292.5	-0.7	9.457e-06	1.248e-04
chr16	56681780	56683283	419	0.6	9.726e-06	1.282e-04
chr5	180806246	180811610	1156.5	-0.3	4.847e-06	1.304e-04
chr12	93742067	93742980	49	1.8	8.411e-06	1.338e-04
chr15	40238864	40239633	57.8	1.5	1.060e-05	1.338e-04
chr7	114922096	114923491	299.5	0.7	1.025e-05	1.360e-04
chr18	55418749	55424308	663.1	-0.5	5.121e-06	1.369e-04
chr6	166167967	166168563	18.9	3.3	9.530e-06	1.370e-04
chr6	87919270	87921414	403.8	-0.6	1.122e-05	1.377e-04
chr2	42791999	42793589	424.1	0.5	1.182e-05	1.402e-04
chr20	57492347	57495471	302	-0.7	1.145e-05	1.402e-04
chr7	128829963	128830855	42.1	1.8	1.128e-05	1.416e-04
chr4	80183539	80185141	202.3	0.8	1.111e-05	1.419e-04
chr1	4042737	4044680	114.3	-1.1	8.174e-06	1.426e-04
chr9	90827055	90830277	613.8	-0.5	6.745e-06	1.426e-04
chr14	59463977	59465730	545.7	0.5	6.712e-06	1.428e-04
chr3	125154034	125155375	54.2	1.6	1.174e-05	1.432e-04
chr1	35707234	35708581	118.4	1.1	8.238e-06	1.433e-04
chr1	32539041	32540387	235.6	0.7	1.181e-05	1.436e-04
chr1	156489311	156492207	162.1	-0.9	1.135e-05	1.440e-04
chr10	73910494	73911851	321.7	0.6	1.256e-05	1.475e-04
chr19	41997920	41999296	82.4	1.3	9.676e-06	1.512e-04
chr19	4829524	4832334	967.3	-0.4	5.736e-06	1.513e-04
chrX	118726975	118728260	186.3	0.8	1.251e-05	1.513e-04
chr5	138274044	138274893	67.5	1.4	1.280e-05	1.527e-04
chr2	219228192	219231200	1507.8	-0.3	8.994e-06	1.538e-04
chr3	196968095	196970261	1379.5	0.3	5.923e-06	1.557e-04
chr2	70553364	70554781	129.2	1	9.094e-06	1.567e-04
chr2	64748498	64752427	1299.3	-0.3	7.339e-06	1.579e-04
chr11	826788	827838	105.9	1.1	1.314e-05	1.592e-04
chrX	279521	280630	59.5	-1.5	1.207e-05	1.595e-04
chr19	50417884	50421159	1051.2	-0.4	4.055e-06	1.596e-04
chr20	57468652	57469861	123.9	-1	1.329e-05	1.606e-04
chr2	120345138	120346425	49	1.7	1.319e-05	1.621e-04
chr4	4859300	4860301	103.1	1.2	9.533e-06	1.632e-04
chr12	1590517	1595648	2734.4	-0.2	9.710e-06	1.645e-04
chrX	120751861	120756707	609.4	-0.5	8.102e-06	1.690e-04
chr3	38038756	38040257	319.5	0.6	1.420e-05	1.695e-04
chr4	40189950	40205413	5017.7	-0.2	1.035e-05	1.707e-04
chr3	194255320	194255724	22.9	2.8	8.631e-06	1.716e-04
chr4	153683843	153685137	262.4	0.7	1.481e-05	1.756e-04
chr2	172098930	172099491	34.7	2	1.608e-05	1.777e-04
chr2	118087669	118090474	1121.6	-0.3	4.780e-06	1.788e-04
chr17	7335876	7337592	418.3	-0.5	1.531e-05	1.817e-04
chr17	64128903	64130919	805.5	0.4	4.830e-06	1.818e-04
chr7	97927956	97928670	78.2	1.3	1.195e-05	1.826e-04
chr5	93583680	93585623	140.8	0.9	1.509e-05	1.832e-04
chr2	113173516	113176312	963	-0.4	7.231e-06	1.864e-04
chr5	134113891	134115936	318.5	0.6	1.481e-05	1.868e-04
chr3	122921830	122922544	52.8	1.6	1.593e-05	1.884e-04
chr12	113064457	113065719	73.5	-1.3	1.598e-05	1.888e-04
chr10	110643685	110645708	354.8	0.6	1.507e-05	1.895e-04
chr2	119695193	119697901	204.4	-0.8	1.612e-05	1.897e-04
chr14_GL000225v1_random	44332	44778	49.3	1.7	1.475e-05	1.908e-04
chr16	30786493	30787536	51.1	1.6	1.657e-05	1.923e-04
chr14_GL000225v1_random	64464	64978	43.8	1.8	1.644e-05	1.933e-04
chr9	121698344	121700440	335.5	0.6	1.703e-05	1.934e-04
chr13	41456734	41461218	2104.6	-0.2	1.185e-05	1.966e-04
chr1	32500069	32501265	297.8	0.6	1.690e-05	1.969e-04
chr12	94101589	94102454	52.7	1.6	1.705e-05	1.969e-04
chr6	116461700	116462690	90.9	1.2	1.690e-05	1.989e-04
chr6	158811902	158819810	1846.8	-0.3	1.243e-05	2.008e-04
chr3	152834509	152835346	57.1	1.5	1.721e-05	2.011e-04
chr16	84832694	84833303	19.5	3.4	7.096e-06	2.033e-04
chr9	133023137	133023926	62.6	-1.4	1.719e-05	2.053e-04
chr12	10406400	10409949	420.9	-0.6	1.825e-05	2.054e-04
chr11	47185470	47187688	428.7	0.5	1.649e-05	2.066e-04
chr17	80884874	80885548	29.8	-2.2	1.762e-05	2.066e-04
chr10	11823102	11823987	40.2	1.8	1.747e-05	2.079e-04
chr9	93058598	93060512	437.2	-0.5	1.805e-05	2.092e-04
chr2	134253833	134260366	568.1	-0.5	9.247e-06	2.121e-04
chr4	93299652	93303602	585.9	-0.5	1.067e-05	2.121e-04
chr19	18895029	18896252	67	1.4	1.434e-05	2.138e-04
chr1	203452842	203453898	55.4	-1.6	1.689e-05	2.141e-04
chr18	49023198	49025240	150.6	-0.9	1.841e-05	2.141e-04
chr2	9206172	9207249	56	1.5	1.880e-05	2.141e-04
chr7	102424947	102426395	226.5	-0.7	1.753e-05	2.155e-04
chr9	92807662	92810073	379.8	0.6	1.884e-05	2.159e-04
chr19	35141505	35143000	232.1	-0.8	1.886e-05	2.168e-04
chr16	85947651	85948542	38.8	1.9	1.846e-05	2.175e-04
chr6	99349443	99350209	46.2	1.7	1.892e-05	2.175e-04
chr17	7350424	7352856	798.8	-0.4	8.739e-06	2.184e-04
chr9	93296648	93298439	141	-1	1.860e-05	2.185e-04
chr2	55008305	55010607	182.3	-0.8	1.832e-05	2.192e-04
chr20	63639624	63641904	369.9	-0.6	1.926e-05	2.192e-04
chrY	15503375	15507763	484	-0.5	1.116e-05	2.192e-04
chr7	158539381	158540771	159.2	-0.9	1.804e-05	2.197e-04
chr10	72301487	72303176	142.9	-1	1.358e-05	2.214e-04
chr2	54329984	54331729	412.4	0.5	1.821e-05	2.214e-04
chr21	44920283	44921187	46.2	1.7	1.998e-05	2.246e-04
chr14	73237338	73238474	66.2	1.4	1.824e-05	2.281e-04
chr17	49575381	49576636	44.3	1.8	2.013e-05	2.290e-04
chr3	16507885	16516617	3137.3	-0.2	1.457e-05	2.290e-04
chr2	84880207	84882317	387.2	0.6	2.041e-05	2.307e-04
chr15	65422034	65423318	34.9	2	1.855e-05	2.312e-04
chr3	183427166	183429391	1181.9	0.3	9.439e-06	2.330e-04
chr10	22335387	22336993	68.8	1.3	2.018e-05	2.341e-04
chr4	175999914	176003239	927	-0.4	9.607e-06	2.361e-04
chr14	70821589	70823051	317.1	0.6	2.123e-05	2.388e-04
chr7	105009190	105018349	4402.5	-0.2	1.549e-05	2.419e-04
chr1	8419185	8425798	1533.5	-0.3	1.518e-05	2.423e-04
chr11	75554368	75555418	31.8	2.1	1.969e-05	2.440e-04
chr12	125185655	125187350	129.3	1	1.896e-05	2.441e-04
chr1	46466134	46467295	182.8	0.8	2.195e-05	2.458e-04
chr1	12166723	12167533	65.7	1.4	2.163e-05	2.492e-04
chr12	113159590	113161615	333	-0.6	2.093e-05	2.507e-04
chr7	100894939	100895815	31.5	2.2	2.238e-05	2.534e-04
chr9	97501068	97503162	155.2	0.9	2.246e-05	2.535e-04
chr2	38037977	38038643	42.3	1.9	2.241e-05	2.573e-04
chr6	149863055	149864894	676.4	0.4	1.058e-05	2.573e-04
chr2	174341725	174343058	113.6	1.1	1.795e-05	2.585e-04
chr7	39414151	39414661	29	2.3	2.293e-05	2.585e-04
chr12	117966311	117969997	597.8	-0.5	1.181e-05	2.610e-04
chr16	80540099	80541448	439.8	0.5	2.194e-05	2.632e-04
chr17	76382691	76386711	918.6	0.4	1.084e-05	2.632e-04
chr8	74320307	74322098	359	0.6	2.362e-05	2.632e-04
chr17	77145360	77146642	75.5	-1.3	1.839e-05	2.637e-04
chr1	108199485	108201079	740.9	0.4	1.122e-05	2.731e-04
chr7	50627815	50628628	31.9	2.1	2.418e-05	2.752e-04
chr17	20008605	20010266	458.5	0.5	2.305e-05	2.755e-04
chr12	68793298	68794936	105.1	-1.1	1.747e-05	2.769e-04
chr6	131135018	131136410	341.9	0.6	2.329e-05	2.780e-04
chr21	33381768	33383964	341.7	-0.6	2.612e-05	2.796e-04
chr5	139847841	139848783	168	0.9	2.448e-05	2.828e-04
chr1	162023590	162024494	61	1.4	2.582e-05	2.856e-04
chr16	11975850	11978439	988.4	-0.4	8.165e-06	2.858e-04
chr15	52789403	52791429	452.3	0.5	2.636e-05	2.894e-04
chr6	30466104	30467114	95.7	1.1	2.576e-05	2.910e-04
chr2	172554568	172558802	1570.2	-0.3	2.918e-05	2.914e-04
chr11	73217991	73218793	82.1	1.2	2.705e-05	2.934e-04
chr22	46052983	46058314	1030.2	-0.4	1.225e-05	2.934e-04
chr10	75294624	75295770	167.4	0.8	2.561e-05	2.935e-04
chr17	68221259	68223381	117.8	1	1.872e-05	2.935e-04
chr8	143985428	143986935	508.8	-0.5	1.547e-05	2.935e-04
chr16	57284160	57285221	202.6	0.8	2.710e-05	2.966e-04
chrX	150362698	150363817	31.4	2.1	2.696e-05	2.977e-04
chr2	240452398	240453229	53.5	1.5	2.657e-05	2.978e-04
chr7	1741738	1742587	49.5	1.6	2.739e-05	2.996e-04
chr4	112817826	112819136	293.4	0.7	2.639e-05	3.009e-04
chr2	68318918	68320451	447.5	0.5	2.772e-05	3.009e-04
chr1	50420773	50421759	74.9	2.1	2.526e-05	3.025e-04
chr2	213145123	213154025	1829.2	-0.3	2.013e-05	3.046e-04
chr16	73047620	73048743	91.2	1.2	2.743e-05	3.059e-04
chr18	9135183	9140591	2186.4	-0.2	3.106e-05	3.063e-04
chr2	164759454	164761463	88.1	-1.2	2.486e-05	3.086e-04
chr20	728038	728705	32.8	2	3.078e-05	3.102e-04
chr1	184036792	184037750	26.6	2.4	2.455e-05	3.108e-04
chr5	171418681	171420301	155.5	0.9	2.009e-05	3.108e-04
chr9	122346480	122347775	288.2	0.7	2.711e-05	3.108e-04
chr16	46918230	46919770	100.8	-1.1	2.019e-05	3.120e-04
chr22	39465961	39467555	98.5	-1.1	2.532e-05	3.127e-04
chr4	24470860	24473502	153.1	0.9	2.027e-05	3.128e-04
chr16	89060453	89066547	554	-0.5	1.685e-05	3.145e-04
chr3	198079910	198081790	614.6	0.4	1.700e-05	3.170e-04
chr2	230956949	230957775	38.3	1.9	2.914e-05	3.216e-04
chr10	134382	136822	542.2	0.5	1.731e-05	3.223e-04
chr21	41861211	41863518	425.3	-0.5	2.834e-05	3.247e-04
chr3	9915244	9916136	45.5	1.7	3.020e-05	3.247e-04
chr19	18612347	18613247	30.1	2.1	3.027e-05	3.278e-04
chr1	235649137	235650130	106.5	1.1	2.694e-05	3.302e-04
chr3	31957942	31960775	266.8	-0.7	3.106e-05	3.313e-04
chr20	62976965	62978311	73	1.3	3.135e-05	3.313e-04
chr1	203303535	203309380	3325.7	-0.2	2.251e-05	3.329e-04
chr16	67430322	67431699	113.2	1	2.420e-05	3.334e-04
chr14_GL000225v1_random	42865	43196	28.6	2.2	3.128e-05	3.344e-04
chr16	89038092	89040084	137.5	-0.9	3.133e-05	3.366e-04
chr17	42760654	42761737	139.4	0.9	2.234e-05	3.404e-04
chr14	91282526	91283691	48.6	1.6	3.236e-05	3.451e-04
chr20	32189955	32190654	29.2	2.1	3.242e-05	3.454e-04
chr7	99579788	99580818	202.8	0.7	3.064e-05	3.475e-04
chr11	9662448	9668521	1515.1	-0.3	3.633e-05	3.502e-04
chr7	1530166	1532901	669.3	-0.4	1.518e-05	3.502e-04
chr17	16969265	16972729	981.7	-0.4	9.606e-06	3.549e-04
chr2	73293019	73294087	123.3	1	3.310e-05	3.596e-04
chr12	10556340	10558083	102.6	-1.1	3.000e-05	3.631e-04
chr12	110686326	110689993	676.9	-0.4	1.090e-05	3.658e-04
chr16	30063663	30067838	2455.8	-0.2	3.826e-05	3.670e-04
chr14	105588027	105594271	1434.3	-0.3	1.957e-05	3.693e-04
chr17	47733195	47734051	76	1.3	2.734e-05	3.720e-04
chr7	44747804	44750953	1159.4	-0.3	1.019e-05	3.743e-04
chr20	57450570	57451522	80.7	-1.2	3.284e-05	3.803e-04
chr8	17577046	17577768	63.4	1.4	3.287e-05	3.803e-04
chr9	136665265	136666477	88.2	1.2	3.175e-05	3.818e-04
chr3	9951683	9952767	266.1	0.6	3.480e-05	3.821e-04
chr14	63748229	63750646	138	-0.9	2.834e-05	3.837e-04
chr9	93133067	93134976	513.4	0.5	2.116e-05	3.842e-04
chr19	55068961	55069905	113.8	-1	3.594e-05	3.863e-04
chr1	43834914	43836131	75.8	-1.2	3.696e-05	3.877e-04
chr16	85898277	85905195	1805.8	0.2	4.121e-05	3.913e-04
