# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "H3K4me3.consensus_peaks.saf" "-s" "0" "-o" "H3K4me3.consensus_peaks.featureCounts.txt" "JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam" "JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam	JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam	DMSO_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam	DMSO_H3K4me3_REP2.mLb.clN.sorted.bam
Interval_13244	chr22	30968265	30970726	+	2462	882	922	1074	1019	926	883
Interval_13245	chr22	31080520	31082019	+	1500	504	554	521	569	435	465
Interval_13246	chr22	31083745	31085578	+	1834	798	889	843	974	764	798
Interval_13247	chr22	31106969	31108197	+	1229	186	209	211	225	183	170
Interval_13248	chr22	31126726	31128569	+	1844	290	290	213	319	180	285
Interval_13249	chr22	31159478	31161464	+	1987	591	624	582	654	512	503
Interval_13250	chr22	31211755	31213597	+	1843	735	740	783	856	694	721
Interval_13251	chr22	31288967	31293421	+	4455	1350	1428	1176	1638	957	1259
Interval_13252	chr22	31342753	31348035	+	5283	1830	1958	1741	2083	1345	1715
Interval_13253	chr22	31398861	31400886	+	2026	1114	1188	1072	1212	920	1033
Interval_13254	chr22	31488506	31491326	+	2821	1496	1483	1504	1633	1344	1381
Interval_13255	chr22	31495399	31497882	+	2484	1203	1257	1299	1390	1089	1159
Interval_13256	chr22	31629670	31631576	+	1907	354	399	459	437	341	363
Interval_13257	chr22	31637516	31638616	+	1101	155	172	115	172	79	114
Interval_13258	chr22	31660916	31662910	+	1995	937	929	900	995	744	840
Interval_13259	chr22	31665712	31666215	+	504	33	34	42	46	21	31
Interval_13260	chr22	31676435	31677372	+	938	103	106	136	123	105	90
Interval_13261	chr22	31748551	31750754	+	2204	931	953	900	1066	732	885
Interval_13262	chr22	31752993	31755334	+	2342	874	949	938	992	818	800
Interval_13263	chr22	31792346	31793377	+	1032	34	33	33	61	31	31
Interval_13264	chr22	31943609	31946637	+	3029	1242	1320	1334	1369	1107	1255
Interval_13265	chr22	31970255	31971453	+	1199	158	143	187	165	151	132
Interval_13266	chr22	32137613	32138642	+	1030	95	86	139	108	126	83
Interval_13267	chr22	32411192	32412543	+	1352	629	636	704	706	570	571
Interval_13268	chr22	32473787	32477114	+	3328	1199	1264	1269	1372	1123	1201
Interval_13269	chr22	33302381	33302708	+	328	25	30	15	25	14	24
Interval_13270	chr22	33789245	33789561	+	317	5	2	2	3	7	5
Interval_13271	chr22	33841373	33842073	+	701	19	18	27	29	19	27
Interval_13272	chr22	33853851	33854094	+	244	6	9	15	9	11	14
Interval_13273	chr22	33918788	33923105	+	4318	628	671	768	698	580	578
Interval_13274	chr22	35229962	35231669	+	1708	400	361	427	446	306	301
Interval_13275	chr22	35256817	35258985	+	2169	884	887	936	1039	779	885
Interval_13276	chr22	35299246	35300939	+	1694	886	896	954	1018	804	830
Interval_13277	chr22	35313996	35314742	+	747	58	48	59	64	41	48
Interval_13278	chr22	35330290	35330887	+	598	34	32	73	20	51	30
Interval_13279	chr22	35349688	35351793	+	2106	295	279	268	344	203	244
Interval_13280	chr22	35380759	35382188	+	1430	310	343	340	366	293	322
Interval_13281	chr22	35398893	35402869	+	3977	1326	1394	1350	1474	1135	1275
Interval_13282	chr22	35539827	35541302	+	1476	254	274	407	277	305	227
Interval_13283	chr22	35627290	35627857	+	568	68	68	64	62	57	61
Interval_13284	chr22	35648036	35650142	+	2107	508	521	583	584	451	409
Interval_13285	chr22	35685652	35686429	+	778	73	83	90	73	81	58
Interval_13286	chr22	35744533	35746765	+	2233	230	241	154	255	107	161
Interval_13287	chr22	35752544	35753115	+	572	21	15	10	9	10	8
Interval_13288	chr22	35834373	35841061	+	6689	652	713	386	791	264	585
Interval_13289	chr22	35848182	35850079	+	1898	87	79	49	80	43	71
Interval_13290	chr22	35891377	35895430	+	4054	525	588	569	636	498	477
Interval_13291	chr22	36027685	36029861	+	2177	692	709	716	791	644	672
Interval_13292	chr22	36065707	36066682	+	976	138	142	211	178	161	137
Interval_13293	chr22	36123794	36124116	+	323	19	24	18	15	14	13
Interval_13294	chr22	36156838	36157357	+	520	19	30	34	16	29	14
Interval_13295	chr22	36158197	36161120	+	2924	834	930	760	946	557	782
Interval_13296	chr22	36162034	36164355	+	2322	285	350	390	381	331	302
Interval_13297	chr22	36237513	36239989	+	2477	959	1054	1046	1119	858	904
Interval_13298	chr22	36252814	36253905	+	1092	100	134	114	157	103	103
Interval_13299	chr22	36331520	36332608	+	1089	178	203	136	218	113	166
Interval_13300	chr22	36385312	36389335	+	4024	2166	2301	2239	2436	1938	2093
Interval_13301	chr22	36454646	36455888	+	1243	169	192	183	209	168	167
Interval_13302	chr22	36480546	36482871	+	2326	757	791	809	882	682	737
Interval_13303	chr22	36506387	36507683	+	1297	234	263	374	334	276	234
Interval_13304	chr22	36527925	36530370	+	2446	1018	1069	1027	1110	887	954
Interval_13305	chr22	36775214	36776323	+	1110	242	280	315	281	238	286
Interval_13306	chr22	36776504	36776956	+	453	23	23	22	23	18	24
Interval_13307	chr22	36860934	36861675	+	742	55	55	60	45	34	38
Interval_13308	chr22	36861834	36862163	+	330	11	17	11	13	5	9
Interval_13309	chr22	36977444	36978367	+	924	106	114	157	131	111	99
Interval_13310	chr22	37019136	37020294	+	1159	23	28	74	27	70	11
Interval_13311	chr22	37051385	37052542	+	1158	182	225	288	218	233	174
Interval_13312	chr22	37198285	37199861	+	1577	443	473	478	520	430	432
Interval_13313	chr22	37219193	37220603	+	1411	132	139	72	163	55	142
Interval_13314	chr22	37241786	37244788	+	3003	1386	1432	1203	1577	1077	1343
Interval_13315	chr22	37267165	37267589	+	425	34	42	56	44	34	36
Interval_13316	chr22	37481562	37487061	+	5500	2435	2599	2505	2854	2080	2245
Interval_13317	chr22	37491146	37491460	+	315	21	26	9	29	4	16
Interval_13318	chr22	37491713	37493200	+	1488	552	638	365	657	266	530
Interval_13319	chr22	37518828	37519945	+	1118	38	33	106	30	113	35
Interval_13320	chr22	37607011	37610514	+	3504	1235	1260	1432	1454	1142	1226
Interval_13321	chr22	37638971	37641076	+	2106	604	561	589	713	465	604
Interval_13322	chr22	37657540	37661766	+	4227	1600	1737	1525	1893	1331	1452
Interval_13323	chr22	37676332	37677757	+	1426	183	209	199	211	113	188
Interval_13324	chr22	37686031	37687594	+	1564	933	938	993	1080	831	910
Interval_13325	chr22	37696684	37697530	+	847	62	63	30	76	21	62
Interval_13326	chr22	37745247	37747444	+	2198	1163	1167	1245	1362	1137	1120
Interval_13327	chr22	37801984	37803249	+	1266	259	243	459	309	371	242
Interval_13328	chr22	37804498	37805551	+	1054	54	59	127	51	105	40
Interval_13329	chr22	37807348	37808694	+	1347	438	426	543	498	449	404
Interval_13330	chr22	37817784	37818174	+	391	25	21	27	20	23	13
Interval_13331	chr22	37818433	37819296	+	864	78	63	110	77	84	47
Interval_13332	chr22	37824804	37825050	+	247	3	1	10	2	10	3
Interval_13333	chr22	37825115	37825427	+	313	5	5	10	2	7	0
Interval_13334	chr22	37843079	37845166	+	2088	821	848	890	909	808	757
Interval_13335	chr22	37848159	37850531	+	2373	1074	1166	1247	1244	977	1073
Interval_13336	chr22	37905453	37907327	+	1875	549	569	621	551	551	482
Interval_13337	chr22	37952930	37954939	+	2010	909	903	984	989	831	817
Interval_13338	chr22	38056808	38058106	+	1299	577	545	601	672	517	508
Interval_13339	chr22	38180539	38182316	+	1778	409	442	425	480	328	435
Interval_13340	chr22	38201305	38203633	+	2329	805	857	804	908	729	782
Interval_13341	chr22	38214314	38215048	+	735	54	69	84	66	68	50
Interval_13342	chr22	38272102	38273673	+	1572	625	645	691	712	574	584
Interval_13343	chr22	38316450	38317988	+	1539	141	122	249	153	181	120
Interval_13344	chr22	38335958	38336785	+	828	59	68	112	77	79	62
Interval_13345	chr22	38397217	38399768	+	2552	400	401	496	445	421	366
Interval_13346	chr22	38454662	38455281	+	620	13	11	38	17	46	22
Interval_13347	chr22	38455559	38456295	+	737	21	20	55	22	38	23
Interval_13348	chr22	38467653	38468105	+	453	4	5	13	4	18	3
Interval_13349	chr22	38503522	38507308	+	3787	1547	1574	1524	1728	1290	1435
Interval_13350	chr22	38569388	38571425	+	2038	381	433	407	475	358	416
Interval_13351	chr22	38655712	38657897	+	2186	1022	993	1123	1152	945	952
Interval_13352	chr22	38681181	38682993	+	1813	964	990	959	1048	882	902
Interval_13353	chr22	38699188	38702095	+	2908	1310	1355	1324	1470	1118	1259
Interval_13354	chr22	38704740	38707699	+	2960	1306	1361	1330	1463	1188	1286
Interval_13355	chr22	38754121	38757193	+	3073	1321	1381	1265	1468	1067	1268
Interval_13356	chr22	38793365	38794611	+	1247	230	255	316	259	264	240
Interval_13357	chr22	38870597	38873313	+	2717	721	739	840	863	680	692
Interval_13358	chr22	39020487	39021664	+	1178	43	41	52	50	35	40
Interval_13359	chr22	39040639	39041074	+	436	12	15	16	15	18	20
Interval_13360	chr22	39076637	39077763	+	1127	63	70	91	52	55	59
Interval_13361	chr22	39144330	39146285	+	1956	608	572	764	612	665	520
Interval_13362	chr22	39150925	39153684	+	2760	709	744	687	777	569	656
Interval_13363	chr22	39171022	39171290	+	269	14	10	20	16	11	14
Interval_13364	chr22	39317926	39320635	+	2710	1289	1323	1390	1428	1132	1204
Interval_13365	chr22	39349151	39350956	+	1806	366	386	503	388	410	331
Interval_13366	chr22	39399154	39400804	+	1651	826	825	842	873	682	747
Interval_13367	chr22	39418366	39419656	+	1291	199	181	106	198	79	157
Interval_13368	chr22	39437237	39438893	+	1657	234	250	124	250	87	190
Interval_13369	chr22	39446193	39451850	+	5658	2733	2813	1964	2967	1584	2436
Interval_13370	chr22	39452119	39455240	+	3122	276	344	132	324	118	246
Interval_13371	chr22	39455660	39459374	+	3715	814	898	608	1016	448	810
Interval_13372	chr22	39459722	39460560	+	839	61	65	23	64	18	54
Interval_13373	chr22	39460989	39461430	+	442	20	28	13	20	8	20
Interval_13374	chr22	39462217	39462680	+	464	22	28	10	20	6	17
Interval_13375	chr22	39462982	39463306	+	325	13	22	3	11	6	13
Interval_13376	chr22	39464037	39464360	+	324	28	31	7	22	6	21
Interval_13377	chr22	39465017	39465641	+	625	37	52	28	34	21	38
Interval_13378	chr22	39465961	39467555	+	1595	158	151	73	153	51	123
Interval_13379	chr22	39501839	39503915	+	2077	889	933	974	978	862	852
Interval_13380	chr22	39518992	39523630	+	4639	2306	2384	2347	2575	1996	2164
Interval_13381	chr22	39528043	39529983	+	1941	200	213	184	206	132	156
Interval_13382	chr22	39531501	39533147	+	1647	831	867	864	951	747	793
Interval_13383	chr22	39875300	39875543	+	244	16	18	17	19	14	16
Interval_13384	chr22	40043621	40046437	+	2817	1150	1184	1197	1264	983	1107
Interval_13385	chr22	40176615	40180321	+	3707	707	790	794	813	606	670
Interval_13386	chr22	40276442	40276678	+	237	4	4	13	7	11	7
Interval_13387	chr22	40345233	40348090	+	2858	1261	1258	1423	1452	1138	1184
Interval_13388	chr22	40370323	40372123	+	1801	730	765	708	867	643	701
Interval_13389	chr22	40385225	40385553	+	329	8	12	17	20	15	12
Interval_13390	chr22	40417879	40418503	+	625	28	44	23	34	21	33
Interval_13391	chr22	40461899	40463859	+	1961	436	471	482	513	347	379
Interval_13392	chr22	40531705	40534131	+	2427	221	216	143	248	109	180
Interval_13393	chr22	40635412	40638109	+	2698	1322	1338	1408	1509	1162	1284
Interval_13394	chr22	40646480	40646748	+	269	7	11	8	6	10	12
Interval_13395	chr22	40651442	40653210	+	1769	1021	1095	1073	1192	891	979
Interval_13396	chr22	40817161	40819994	+	2834	959	1001	1028	1097	841	909
Interval_13397	chr22	40854753	40858290	+	3538	1494	1527	1579	1651	1332	1325
Interval_13398	chr22	40950243	40952962	+	2720	1059	1119	1091	1193	906	1056
Interval_13399	chr22	41020855	41022973	+	2119	529	580	650	630	549	555
Interval_13400	chr22	41090791	41095705	+	4915	1771	1899	1882	2041	1513	1699
Interval_13401	chr22	41196855	41198425	+	1571	484	477	534	526	491	444
Interval_13402	chr22	41204868	41206439	+	1572	561	580	623	647	541	537
Interval_13403	chr22	41237261	41238429	+	1169	209	203	304	202	235	177
Interval_13404	chr22	41284909	41287235	+	2327	1215	1198	1312	1362	1128	1167
Interval_13405	chr22	41300922	41303317	+	2396	928	970	1072	1098	842	899
Interval_13406	chr22	41380898	41383297	+	2400	553	593	641	642	514	547
Interval_13407	chr22	41412486	41415813	+	3328	1561	1500	1617	1733	1381	1452
Interval_13408	chr22	41443892	41448963	+	5072	3128	3347	3287	3580	2833	3134
Interval_13409	chr22	41467571	41470214	+	2644	1367	1413	1455	1561	1240	1352
Interval_13410	chr22	41542822	41545046	+	2225	983	950	1026	1039	845	938
Interval_13411	chr22	41588504	41590926	+	2423	900	938	953	1064	829	893
Interval_13412	chr22	41619404	41622455	+	3052	1894	1978	2077	2169	1706	1786
Interval_13413	chr22	41666813	41667717	+	905	124	125	119	151	89	141
Interval_13414	chr22	41681668	41683360	+	1693	453	452	489	538	390	442
Interval_13415	chr22	41687442	41689614	+	2173	1033	1098	1074	1192	972	992
Interval_13416	chr22	41799539	41801943	+	2405	1247	1315	1266	1475	1043	1242
Interval_13417	chr22	41832173	41835140	+	2968	1585	1630	1813	1799	1517	1621
Interval_13418	chr22	41909600	41911142	+	1543	67	75	138	80	109	41
Interval_13419	chr22	41914633	41915145	+	513	11	10	50	10	49	4
Interval_13420	chr22	41919123	41920041	+	919	156	139	179	132	101	140
Interval_13421	chr22	41925038	41927087	+	2050	640	711	545	737	465	578
Interval_13422	chr22	41944910	41947562	+	2653	1490	1519	1616	1688	1415	1454
Interval_13423	chr22	41976225	41977457	+	1233	70	51	229	72	200	59
Interval_13424	chr22	41998220	41999451	+	1232	166	172	223	178	170	158
Interval_13425	chr22	42069894	42071460	+	1567	493	538	587	558	488	468
Interval_13426	chr22	42074113	42074676	+	564	28	32	49	30	51	27
Interval_13427	chr22	42078785	42081106	+	2322	813	767	939	915	755	780
Interval_13428	chr22	42089708	42091803	+	2096	1045	994	1105	1184	948	928
Interval_13429	chr22	42269024	42271044	+	2021	900	864	955	971	839	874
Interval_13430	chr22	42283434	42284151	+	718	11	9	39	11	28	12
Interval_13431	chr22	42368374	42370026	+	1653	291	310	329	341	254	248
Interval_13432	chr22	42437594	42438212	+	619	46	42	77	42	78	28
Interval_13433	chr22	42444017	42444826	+	810	44	49	50	44	49	39
Interval_13434	chr22	42499902	42501179	+	1278	86	103	113	106	71	77
Interval_13435	chr22	42518484	42520317	+	1834	494	512	513	564	450	499
Interval_13436	chr22	42533113	42534200	+	1088	38	35	64	40	41	28
Interval_13437	chr22	42553195	42554906	+	1712	379	409	339	411	335	344
Interval_13438	chr22	42580674	42582400	+	1727	472	473	508	513	443	408
Interval_13439	chr22	42613153	42616095	+	2943	1002	984	1017	1075	817	913
Interval_13440	chr22	42646348	42647066	+	719	29	42	14	32	5	23
Interval_13441	chr22	42648051	42650086	+	2036	716	778	808	817	670	697
Interval_13442	chr22	42662065	42662871	+	807	135	152	180	152	151	125
Interval_13443	chr22	42719817	42721361	+	1545	140	180	299	183	230	150
Interval_13444	chr22	42769891	42770240	+	350	11	6	14	6	16	4
Interval_13445	chr22	42856030	42857611	+	1582	396	379	502	444	413	381
Interval_13446	chr22	42867878	42868185	+	308	15	15	17	13	10	17
Interval_13447	chr22	43013988	43015922	+	1935	604	611	723	655	572	561
Interval_13448	chr22	43088603	43090057	+	1455	461	500	488	523	431	431
Interval_13449	chr22	43110066	43113495	+	3430	1008	1008	1026	1107	837	901
Interval_13450	chr22	43118376	43118805	+	430	31	33	17	33	14	28
Interval_13451	chr22	43142268	43144068	+	1801	800	787	796	939	724	792
Interval_13452	chr22	43151184	43152446	+	1263	45	65	77	50	64	52
Interval_13453	chr22	43185577	43187201	+	1625	858	855	798	921	693	810
Interval_13454	chr22	43187554	43188380	+	827	116	134	147	163	110	130
Interval_13455	chr22	43320866	43321440	+	575	20	14	34	11	25	13
Interval_13456	chr22	43811593	43813376	+	1784	611	639	736	737	641	635
Interval_13457	chr22	43891543	43892100	+	558	8	13	23	5	19	5
Interval_13458	chr22	43954255	43956683	+	2429	1408	1398	1436	1557	1268	1310
Interval_13459	chr22	43995622	43996739	+	1118	178	186	174	190	136	170
Interval_13460	chr22	44023621	44026778	+	3158	453	504	248	507	193	401
Interval_13461	chr22	44026926	44027559	+	634	48	40	35	45	30	30
Interval_13462	chr22	44458109	44459612	+	1504	70	66	117	80	75	68
Interval_13463	chr22	44550806	44551249	+	444	4	4	20	4	16	3
Interval_13464	chr22	44954230	44955273	+	1044	68	79	53	93	46	68
Interval_13465	chr22	44955450	44957382	+	1933	195	180	112	204	77	161
Interval_13466	chr22	45008247	45010833	+	2587	531	561	532	622	479	502
Interval_13467	chr22	45162539	45165648	+	3110	1396	1374	1435	1541	1277	1412
Interval_13468	chr22	45239834	45241574	+	1741	390	392	390	434	303	354
Interval_13469	chr22	45249385	45249621	+	237	7	4	11	6	4	6
Interval_13470	chr22	45268648	45269734	+	1087	62	70	111	86	80	67
Interval_13471	chr22	45284472	45285270	+	799	68	83	97	73	71	61
Interval_13472	chr22	45309085	45311191	+	2107	719	756	737	792	605	652
Interval_13473	chr22	45318306	45320020	+	1715	125	115	142	120	90	106
Interval_13474	chr22	45412957	45414468	+	1512	253	283	357	315	296	270
Interval_13475	chr22	45553747	45554513	+	767	76	65	63	71	53	67
Interval_13476	chr22	45573999	45576004	+	2006	198	219	121	214	78	172
Interval_13477	chr22	45583135	45584465	+	1331	158	150	79	145	54	135
Interval_13478	chr22	45645055	45646735	+	1681	300	332	251	314	175	245
Interval_13479	chr22	45647252	45648252	+	1001	64	79	64	76	59	59
Interval_13480	chr22	45671012	45673609	+	2598	1456	1485	1570	1613	1348	1425
Interval_13481	chr22	45769025	45769665	+	641	17	37	18	36	13	30
Interval_13482	chr22	45784396	45786025	+	1630	167	176	154	179	136	129
Interval_13483	chr22	45877880	45878116	+	237	2	1	1	1	9	1
Interval_13484	chr22	45978459	45979495	+	1037	295	289	396	381	339	313
Interval_13485	chr22	46013193	46014417	+	1225	291	317	413	347	327	298
Interval_13486	chr22	46035200	46037023	+	1824	689	709	724	777	649	667
Interval_13487	chr22	46052983	46058314	+	5332	1112	1238	1012	1284	777	1083
Interval_13488	chr22	46067295	46068101	+	807	72	59	30	77	19	59
Interval_13489	chr22	46068998	46073859	+	4862	942	1005	962	1131	867	891
Interval_13490	chr22	46074293	46074760	+	468	21	18	23	28	15	13
Interval_13491	chr22	46080112	46081840	+	1729	161	160	234	166	178	131
Interval_13492	chr22	46149269	46152077	+	2809	1085	1172	1298	1318	1144	1115
Interval_13493	chr22	46249256	46251220	+	1965	739	742	811	858	718	742
Interval_13494	chr22	46267447	46268535	+	1089	123	114	189	127	161	104
Interval_13495	chr22	46287948	46288735	+	788	25	29	59	37	37	22
Interval_13496	chr22	46295684	46298186	+	2503	1361	1373	1400	1584	1188	1309
Interval_13497	chr22	46334930	46337174	+	2245	1152	1202	1183	1289	1062	1118
Interval_13498	chr22	46421493	46421934	+	442	34	29	47	32	28	29
Interval_13499	chr22	46430828	46433685	+	2858	560	616	415	639	335	504
Interval_13500	chr22	46437847	46438296	+	450	15	13	20	16	17	13
Interval_13501	chr22	46536760	46538717	+	1958	72	80	149	101	154	77
Interval_13502	chr22	46561288	46562246	+	959	69	78	97	99	63	79
Interval_13503	chr22	46563597	46563999	+	403	20	20	22	28	32	18
Interval_13504	chr22	46576297	46578148	+	1852	385	453	486	425	406	328
Interval_13505	chr22	46587986	46589447	+	1462	123	108	80	123	78	99
Interval_13506	chr22	46593140	46593510	+	371	12	6	20	10	17	12
Interval_13507	chr22	46613378	46615056	+	1679	235	242	313	251	282	189
Interval_13508	chr22	46674021	46675297	+	1277	82	77	158	77	118	64
Interval_13509	chr22	46702746	46702993	+	248	2	3	10	3	9	5
Interval_13510	chr22	46734973	46739162	+	4190	669	748	764	780	624	649
Interval_13511	chr22	46761018	46764572	+	3555	1527	1533	1421	1740	1228	1386
Interval_13512	chr22	46764783	46765160	+	378	10	21	3	17	7	13
Interval_13513	chr22	46769142	46771564	+	2423	491	511	160	475	84	335
Interval_13514	chr22	46773854	46777500	+	3647	692	813	136	793	79	569
Interval_13515	chr22	47048378	47049395	+	1018	15	27	45	20	41	20
Interval_13516	chr22	47474572	47474878	+	307	3	3	3	3	15	1
Interval_13517	chr22	47630826	47633554	+	2729	334	342	452	374	336	288
Interval_13518	chr22	47692697	47694240	+	1544	137	131	222	150	168	131
Interval_13519	chr22	47695111	47695359	+	249	5	7	11	7	4	4
Interval_13520	chr22	48004241	48004638	+	398	14	16	15	23	10	21
Interval_13521	chr22	48098637	48099502	+	866	59	71	37	66	44	47
Interval_13522	chr22	48720501	48720828	+	328	2	6	4	1	1	11
Interval_13523	chr22	49307399	49307918	+	520	8	10	14	9	7	10
Interval_13524	chr22	49321094	49323426	+	2333	222	210	248	276	208	208
Interval_13525	chr22	49351492	49353578	+	2087	96	114	133	131	91	87
Interval_13526	chr22	49359038	49361002	+	1965	57	65	93	53	57	40
Interval_13527	chr22	49365551	49366710	+	1160	59	56	53	52	43	52
Interval_13528	chr22	49367090	49371878	+	4789	981	1036	1296	1160	1035	906
Interval_13529	chr22	49372103	49374608	+	2506	126	140	166	130	110	102
Interval_13530	chr22	49374923	49375762	+	840	22	20	33	32	19	11
Interval_13531	chr22	49379257	49382615	+	3359	204	198	372	271	297	188
Interval_13532	chr22	49391453	49391925	+	473	15	7	22	12	20	9
Interval_13533	chr22	49392900	49394131	+	1232	42	54	60	54	55	63
Interval_13534	chr22	49404288	49405569	+	1282	56	52	58	61	54	46
Interval_13535	chr22	49424353	49425169	+	817	19	35	31	22	20	22
Interval_13536	chr22	49425218	49425525	+	308	12	7	8	10	8	13
Interval_13537	chr22	49433895	49434320	+	426	15	13	25	15	19	18
Interval_13538	chr22	49466983	49467493	+	511	18	9	29	12	8	12
Interval_13539	chr22	49654074	49658019	+	3946	1565	1605	1563	1726	1321	1447
Interval_13540	chr22	49670094	49670865	+	772	16	20	58	24	54	15
Interval_13541	chr22	49724278	49725101	+	824	37	48	80	37	67	41
Interval_13542	chr22	49825662	49828453	+	2792	1031	1063	1069	1192	888	923
Interval_13543	chr22	49829159	49830037	+	879	53	65	41	67	32	50
Interval_13544	chr22	49852766	49855788	+	3023	864	931	884	1015	693	798
Interval_13545	chr22	49916981	49920556	+	3576	1466	1522	1289	1628	1141	1386
Interval_13546	chr22	49923031	49923490	+	460	28	36	43	44	35	28
Interval_13547	chr22	49924009	49924724	+	716	40	43	41	49	23	29
Interval_13548	chr22	49925222	49926404	+	1183	84	109	180	93	120	96
Interval_13549	chr22	49929528	49929903	+	376	14	18	22	14	14	11
Interval_13550	chr22	49934923	49935308	+	386	22	19	21	18	22	23
Interval_13551	chr22	49936125	49936627	+	503	31	34	39	35	41	28
Interval_13552	chr22	49944478	49944747	+	270	3	3	5	4	14	3
Interval_13553	chr22	49959581	49963209	+	3629	1799	1819	1840	1988	1615	1677
Interval_13554	chr22	49970858	49972120	+	1263	129	127	208	156	167	120
Interval_13555	chr22	50111889	50112819	+	931	45	46	52	60	39	37
Interval_13556	chr22	50169457	50171247	+	1791	156	153	187	169	138	141
Interval_13557	chr22	50184713	50187708	+	2996	997	1077	789	1137	725	946
Interval_13558	chr22	50188476	50188738	+	263	23	16	4	14	6	21
Interval_13559	chr22	50188797	50191607	+	2811	392	388	301	436	245	347
Interval_13560	chr22	50191987	50194143	+	2157	282	271	138	281	109	206
Interval_13561	chr22	50194357	50194675	+	319	17	20	17	19	13	15
Interval_13562	chr22	50199743	50202592	+	2850	1514	1553	1533	1666	1260	1380
Interval_13563	chr22	50241243	50246258	+	5016	1770	1852	1777	2004	1455	1609
Interval_13564	chr22	50247987	50248223	+	237	12	9	13	11	9	10
Interval_13565	chr22	50249974	50251916	+	1943	716	751	755	815	602	694
Interval_13566	chr22	50260173	50262618	+	2446	758	773	756	831	565	770
Interval_13567	chr22	50267951	50268390	+	440	13	17	16	11	17	15
Interval_13568	chr22	50269314	50271946	+	2633	426	425	500	425	415	397
Interval_13569	chr22	50299577	50300547	+	971	90	71	153	79	137	97
Interval_13570	chr22	50306748	50307695	+	948	135	122	138	158	127	107
Interval_13571	chr22	50313719	50315274	+	1556	254	293	219	275	166	220
Interval_13572	chr22	50326431	50327907	+	1477	506	514	618	532	510	482
Interval_13573	chr22	50330542	50331718	+	1177	108	103	87	104	65	79
Interval_13574	chr22	50342168	50343824	+	1657	487	491	533	522	424	433
Interval_13575	chr22	50469165	50469945	+	781	40	39	43	41	29	38
Interval_13576	chr22	50470231	50470599	+	369	15	10	30	17	14	9
Interval_13577	chr22	50473142	50475654	+	2513	970	974	969	1037	808	839
Interval_13578	chr22	50481114	50483393	+	2280	394	389	927	473	809	399
Interval_13579	chr22	50487015	50487654	+	640	21	18	55	24	45	22
Interval_13580	chr22	50506537	50507804	+	1268	649	666	662	731	573	626
Interval_13581	chr22	50508066	50510510	+	2445	760	786	712	923	617	706
Interval_13582	chr22	50524206	50527573	+	3368	1397	1498	1411	1637	1237	1387
Interval_13583	chr22	50529278	50532579	+	3302	1568	1721	1811	1885	1578	1585
Interval_13584	chr22	50539237	50539621	+	385	22	18	19	16	17	14
Interval_13585	chr22	50541451	50542174	+	724	32	29	39	42	32	33
Interval_13586	chr22	50544112	50544554	+	443	18	13	17	15	20	10
Interval_13587	chr22	50547038	50547603	+	566	4	4	23	6	29	6
Interval_13588	chr22	50548242	50549523	+	1282	87	93	150	93	120	87
Interval_13589	chr22	50562661	50563803	+	1143	331	359	361	374	250	325
Interval_13590	chr22	50581566	50584006	+	2441	1329	1315	1380	1521	1172	1237
Interval_13591	chr22	50600045	50600942	+	898	39	35	54	33	47	28
Interval_13592	chr22	50619991	50622474	+	2484	290	307	359	326	251	271
Interval_13593	chr22	50627126	50629156	+	2031	846	864	817	944	719	784
Interval_13594	chr22	50705365	50705767	+	403	9	11	24	12	28	9
Interval_13595	chr22	50756756	50757832	+	1077	138	133	150	147	124	117
Interval_13596	chr22	50782969	50784529	+	1561	273	245	294	313	260	254
Interval_13597	chr22_KI270733v1_random	12610	12862	+	253	10	7	11	9	14	4
Interval_13598	chr22_KI270733v1_random	24696	25285	+	590	72	75	63	90	67	61
Interval_13599	chr22_KI270733v1_random	142905	143279	+	375	20	22	28	11	13	19
Interval_13600	chr22_KI270733v1_random	143830	144072	+	243	18	18	18	21	17	30
Interval_13601	chr22_KI270733v1_random	144611	144912	+	302	25	13	18	26	31	19
Interval_13602	chr22_KI270733v1_random	145413	146995	+	1583	115	77	98	129	85	133
Interval_13603	chr22_KI270733v1_random	147241	147825	+	585	60	43	64	48	60	46
Interval_13604	chr22_KI270733v1_random	148378	149499	+	1122	116	87	129	95	114	111
Interval_13605	chr22_KI270733v1_random	150054	150915	+	862	63	49	45	56	45	61
Interval_13606	chr22_KI270733v1_random	151196	151714	+	519	33	33	43	35	34	34
Interval_13607	chr22_KI270734v1_random	130953	131196	+	244	11	9	14	9	16	6
